effect_var,OptE
Total_abun.diff,4
Num_species.diff,14
Shannon.d.diff,2
Simpson.d.diff,2
lat.high.total.diff,23
lat.low.total.diff,2
lat.high.rich.diff,18
lat.low.rich.diff,7
