v1,v2,r,p
Lat_center,mean_IS,-0.474472463813813,0.000289285328686136
Lat_center,lm_coef,-0.0473090550472438,0.618773533558727
Lat_center,gam_slope_ave,0.0124897052684826,0.895540915066192
mean_IS,slope.w,-0.523280338652591,0.0311182596812882
lm_coef,slope.w,0.382700785694536,0.0232672408500177
gam_slope_ave,slope.w,0.179506663267006,0.302156962592769
