v1,v2,PIC_r,PIC_p
Lat_center,mean_IS,-0.458743713553742,0.00055077542995211
Lat_center,lm_coef,-0.0939190353301155,0.324636669723957
Lat_center,gam_slope_ave,-0.037623759440937,0.693695428682895
mean_IS,slope.w,-0.822349431868854,9.23044255513398e-05
lm_coef,slope.w,0.0565270616455254,0.75084005391364
gam_slope_ave,slope.w,0.0624196363908888,0.725817716074339
