,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-3.97182481467987,1.02011255918623,-3.89351623888279,0.00184870978946265
SST_slope_NS_ave,336.952961005283,79.1766382288132,4.25571189359569,0.000937199260776551
mean_IS,45.6269028086513,11.3778205248935,4.01016193820463,0.00148342856207396
SST_slope_NS_ave:mean_IS,-3710.95308475232,886.944108102081,-4.18397625155115,0.00107108358299061
